Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
  15  52   H-O     2.19434 A  
  24  43   O-H     2.19434 A  
  36  42   O-N     2.20938 A  
  50  56   O-N     2.20938 A  
   1   7   N-O     2.20938 A  
  22  28   O-N     2.20938 A  
   1   2   N-O     2.21290 A  
  27  28   O-N     2.21290 A  
  41  42   O-N     2.21290 A  
  55  56   O-N     2.21290 A  
   4   5   N-O     2.22534 A  
  52  53   O-N     2.22534 A  
  24  25   O-N     2.22534 A  
  38  39   O-N     2.22534 A  
  44  48   H-H     2.24681 A  
  30  34   H-H     2.24681 A  
   9  13   H-H     2.24681 A  
  16  20   H-H     2.24681 A  
   7  10   O-H     2.33674 A  
  19  22   H-O     2.33674 A  
  33  36   H-O     2.33674 A  
  47  50   H-O     2.33674 A  
   1   4   N-N     2.37975 A  
  53  56   N-N     2.37975 A  
  25  28   N-N     2.37975 A  
  39  42   N-N     2.37975 A  
   6  29   N-H     2.39525 A  
  15  51   H-N     2.39525 A  
  14  37   H-N     2.39525 A  
  23  43   N-H     2.39525 A  
   6   8   N-C     2.40046 A  
  35  37   C-N     2.40046 A  
  49  51   C-N     2.40046 A  
  21  23   C-N     2.40046 A  
  21  26   C-N     2.40285 A  
  49  54   C-N     2.40285 A  
   3   8   N-C     2.40285 A  
  35  40   C-N     2.40285 A  
   1  39   N-N     2.41219 A  
   4  42   N-N     2.41219 A  
  28  53   N-N     2.41219 A  
  25  56   N-N     2.41219 A  
   6  31   N-C     2.41408 A  
  12  37   C-N     2.41408 A  
  17  51   C-N     2.41408 A  
  23  45   N-C     2.41408 A  
   3  12   N-C     2.43016 A  
  17  26   C-N     2.43016 A  
  31  40   C-N     2.43016 A  
  45  54   C-N     2.43016 A  
  18  20   O-H     2.43313 A  
   9  11   H-O     2.43313 A  
  32  34   O-H     2.43313 A  
  46  48   O-H     2.43313 A  
  18  48   O-H     2.45942 A *
   9  32   H-O     2.45942 A *
  11  34   O-H     2.45942 A *
  20  46   H-O     2.45942 A *
   2  14   O-H     2.48658 A  
  43  55   H-O     2.48658 A  
  15  27   H-O     2.48658 A  
  29  41   H-O     2.48658 A  
   3  10   N-H     2.49494 A  
  19  26   H-N     2.49494 A  
  47  54   H-N     2.49494 A  
  33  40   H-N     2.49494 A  
  18  21   O-C     2.53705 A  
   8  11   C-O     2.53705 A  
  32  35   O-C     2.53705 A  
  46  49   O-C     2.53705 A  
   8  12   C-C     2.53814 A  
  17  21   C-C     2.53814 A  
  31  35   C-C     2.53814 A  
  45  49   C-C     2.53814 A  
  18  19   O-H     2.54639 A  
  10  11   H-O     2.54639 A  
  32  33   O-H     2.54639 A  
  46  47   O-H     2.54639 A  
   5  13   O-H     2.54760 A *
  16  24   H-O     2.54760 A *
  44  52   H-O     2.54760 A *
  30  38   H-O     2.54760 A *
  44  49   H-C     2.55023 A  
   8  13   C-H     2.55023 A  
  30  35   H-C     2.55023 A  
  16  21   H-C     2.55023 A  
  12  35   C-C     2.57056 A  
   8  31   C-C     2.57056 A  
  17  49   C-C     2.57056 A  
  21  45   C-C     2.57056 A  
  19  38   H-O     2.58252 A *
   5  47   O-H     2.58252 A *
  10  52   H-O     2.58252 A *
  24  33   O-H     2.58252 A *
   9  12   H-C     2.59822 A  
  17  20   C-H     2.59822 A  
  45  48   C-H     2.59822 A  
  31  34   C-H     2.59822 A  
   6   9   N-H     2.60058 A  
  48  51   H-N     2.60058 A  
  34  37   H-N     2.60058 A  
  20  23   H-N     2.60058 A  
  21  22   C-O     2.60690 A  
   7   8   O-C     2.60690 A  
  35  36   C-O     2.60690 A  
  49  50   C-O     2.60690 A  
   2  12   O-C     2.61840 A  
  17  27   C-O     2.61840 A  
  31  41   C-O     2.61840 A  
  45  55   C-O     2.61840 A  
   3  14   N-H     2.63627 A  
  29  40   H-N     2.63627 A  
  43  54   H-N     2.63627 A  
  15  26   H-N     2.63627 A  
  33  55   H-O     2.63867 A *
   2  19   O-H     2.63867 A *
  10  27   H-O     2.63867 A *
  41  47   O-H     2.63867 A *
   6  10   N-H     2.67245 A  
  47  51   H-N     2.67245 A  
  19  23   H-N     2.67245 A  
  33  37   H-N     2.67245 A  
   5  31   O-C     2.67933 A  
  12  38   C-O     2.67933 A  
  17  52   C-O     2.67933 A  
  24  45   O-C     2.67933 A  
  13  32   H-O     2.69145 A *
  18  44   O-H     2.69145 A *
  11  30   O-H     2.69145 A *
  16  46   H-O     2.69145 A *
   9  22   H-O     2.70134 A *
  36  48   O-H     2.70134 A *
  34  50   H-O     2.70134 A  
   7  20   O-H     2.70134 A *
  14  27   H-O     2.71691 A *
   2  15   O-H     2.71691 A *
  41  43   O-H     2.71691 A *
  29  55   H-O     2.71691 A  
  14  22   H-O     2.72198 A *
  36  43   O-H     2.72198 A *
   7  15   O-H     2.72198 A *
  29  50   H-O     2.72198 A  
   1  42   N-N     2.75943 A  
  28  56   N-N     2.75943 A  
   1  31   N-C     2.77855 A  
  12  42   C-N     2.77855 A  
  17  56   C-N     2.77855 A  
  28  45   N-C     2.77855 A  
   1  30   N-H     2.79393 A  
  13  42   H-N     2.79393 A  
  28  44   N-H     2.79393 A  
  16  56   H-N     2.79393 A  
  13  22   H-O     2.79437 A *
  36  44   O-H     2.79437 A *
  30  50   H-O     2.79437 A  
   7  16   O-H     2.79437 A *
  10  15   H-H     2.88830 A *
  14  19   H-H     2.88830 A *
  33  43   H-H     2.88830 A *
  29  47   H-H     2.88830 A *
  21  44   C-H     2.90554 A  
   8  30   C-H     2.90554 A  
  13  35   H-C     2.90554 A  
  16  49   H-C     2.90554 A  
   2  39   O-N     2.94325 A  
   4  41   N-O     2.94325 A  
  25  55   N-O     2.94325 A  
  27  53   O-N     2.94325 A  
   6  34   N-H     2.94335 A *
  20  51   H-N     2.94335 A *
   9  37   H-N     2.94335 A *
  23  48   N-H     2.94335 A *
   1  35   N-C     2.96225 A  
   8  42   C-N     2.96225 A  
  28  49   N-C     2.96225 A  
  21  56   C-N     2.96225 A  
  36  45   O-C     2.98808 A *
  12  22   C-O     2.98808 A *
   7  17   O-C     2.98808 A *
  31  50   C-O     2.98808 A  
   2   9   O-H     2.99321 A *
  34  41   H-O     2.99321 A *
  20  27   H-O     2.99321 A *
  48  55   H-O     2.99321 A *
   2  37   O-N     2.99578 A  
   6  41   N-O     2.99578 A  
  27  51   O-N     2.99578 A  
  23  55   N-O     2.99578 A  

Nearest neighbors for each atom (up to 4)

 atom   1 species N  : neighbors at    1.374   1.434   1.454   1.981 A
         d(center): 7.671 A  angles  :   117.7   118.5   145.1   123.0    95.3    27.8
 atom   2 species O  : neighbors at    1.229   2.186   2.213   2.487 A
         d(center): 8.596 A  angles  :    26.5    33.8    83.0    60.3   108.7    50.9
 atom   3 species N  : neighbors at    1.217   1.229   1.374   2.403 A
         d(center): 8.638 A  angles  :   126.7   116.9    85.5   116.3   147.6    31.9
 atom   4 species N  : neighbors at    1.363   1.457   1.472   1.971 A
         d(center): 7.962 A  angles  :   117.7   115.7    89.9   122.7    28.2   149.9
 atom   5 species O  : neighbors at    1.219   2.178   2.194   2.225 A
         d(center): 8.759 A  angles  :    27.3    84.0    32.4   110.6    59.7    53.0
 atom   6 species N  : neighbors at    1.219   1.230   1.363   2.395 A
         d(center): 8.574 A  angles  :   125.6   118.9    65.6   115.4   164.2    55.4
 atom   7 species O  : neighbors at    1.217   2.186   2.209   2.337 A
         d(center): 9.588 A  angles  :    26.8    33.7    82.8    60.5   108.0    52.1
 atom   8 species C  : neighbors at    0.990   0.991   1.434   1.472 A
         d(center): 8.142 A  angles  :   108.1   109.7   109.7   109.7   109.7   109.9
 atom   9 species H  : neighbors at    0.990   1.603   1.998   2.031 A
         d(center): 7.841 A  angles  :    36.0    42.5    43.0    66.4    66.8    72.4
 atom  10 species H  : neighbors at    0.991   1.603   1.999   2.032 A
         d(center): 9.125 A  angles  :    35.9    42.5    43.0    66.3    66.7    72.4
 atom  11 species O  : neighbors at    1.230   2.178   2.193   2.433 A
         d(center): 9.164 A  angles  :    27.1    34.2    83.6    61.2   109.5    51.8
 atom  12 species C  : neighbors at    0.970   0.973   1.454   1.457 A
         d(center): 6.590 A  angles  :   108.2   108.0   109.5   112.4   106.7   111.9
 atom  13 species H  : neighbors at    0.970   1.574   1.981   2.002 A
         d(center): 6.236 A  angles  :    36.0    44.3    43.3    68.7    65.6    74.5
 atom  14 species H  : neighbors at    0.973   1.574   1.971   2.034 A
         d(center): 7.025 A  angles  :    35.8    45.1    41.3    67.7    65.1    74.0
 atom  15 species H  : neighbors at    0.973   1.574   1.971   2.034 A
         d(center): 5.564 A  angles  :    35.8    45.1    41.3    67.7    65.1    74.0
 atom  16 species H  : neighbors at    0.970   1.574   1.981   2.002 A
         d(center): 5.425 A  angles  :    36.0    44.3    43.3    68.7    65.6    74.5
 atom  17 species C  : neighbors at    0.970   0.973   1.454   1.457 A
         d(center): 5.965 A  angles  :   108.2   108.0   109.5   112.4   106.7   111.9
 atom  18 species O  : neighbors at    1.230   2.178   2.193   2.433 A
         d(center): 9.093 A  angles  :    27.1    34.2    83.6    61.2   109.5    51.8
 atom  19 species H  : neighbors at    0.991   1.603   1.999   2.032 A
         d(center): 8.227 A  angles  :    35.9    42.5    43.0    66.3    66.7    72.4
 atom  20 species H  : neighbors at    0.990   1.603   1.998   2.031 A
         d(center): 7.003 A  angles  :    36.0    42.5    43.0    66.4    66.8    72.4
 atom  21 species C  : neighbors at    0.990   0.991   1.434   1.472 A
         d(center): 7.682 A  angles  :   108.1   109.7   109.7   109.7   109.7   109.9
 atom  22 species O  : neighbors at    1.217   2.186   2.209   2.337 A
         d(center): 9.211 A  angles  :    26.8    33.7    82.8    60.5   108.0    52.1
 atom  23 species N  : neighbors at    1.219   1.230   1.363   2.395 A
         d(center): 9.325 A  angles  :   125.6   118.9    65.6   115.4   164.2    55.4
 atom  24 species O  : neighbors at    1.219   2.178   2.194   2.225 A
         d(center):10.273 A  angles  :    27.3    84.0    32.4   110.6    59.7    53.0
 atom  25 species N  : neighbors at    1.363   1.457   1.472   1.971 A
         d(center): 8.671 A  angles  :   117.7   115.7    89.9   122.7    28.2   149.9
 atom  26 species N  : neighbors at    1.217   1.229   1.374   2.403 A
         d(center): 8.140 A  angles  :   126.7   116.9    85.5   116.3   147.6    31.9
 atom  27 species O  : neighbors at    1.229   2.186   2.213   2.487 A
         d(center): 7.974 A  angles  :    26.5    33.8    83.0    60.3   108.7    50.9
 atom  28 species N  : neighbors at    1.374   1.434   1.454   1.981 A
         d(center): 7.217 A  angles  :   117.7   118.5   145.1   123.0    95.3    27.8
 atom  29 species H  : neighbors at    0.973   1.574   1.971   2.034 A
         d(center): 7.262 A  angles  :    35.8    45.1    41.3    67.7    65.1    74.0
 atom  30 species H  : neighbors at    0.970   1.574   1.981   2.002 A
         d(center): 7.543 A  angles  :    36.0    44.3    43.3    68.7    65.6    74.5
 atom  31 species C  : neighbors at    0.970   0.973   1.454   1.457 A
         d(center): 7.103 A  angles  :   108.2   108.0   109.5   112.4   106.7   111.9
 atom  32 species O  : neighbors at    1.230   2.178   2.193   2.433 A
         d(center): 5.816 A  angles  :    27.1    34.2    83.6    61.2   109.5    51.8
 atom  33 species H  : neighbors at    0.991   1.603   1.999   2.032 A
         d(center): 4.465 A  angles  :    35.9    42.5    43.0    66.3    66.7    72.4
 atom  34 species H  : neighbors at    0.990   1.603   1.998   2.031 A
         d(center): 6.060 A  angles  :    36.0    42.5    43.0    66.4    66.8    72.4
 atom  35 species C  : neighbors at    0.990   0.991   1.434   1.472 A
         d(center): 5.348 A  angles  :   108.1   109.7   109.7   109.7   109.7   109.9
 atom  36 species O  : neighbors at    1.217   2.186   2.209   2.337 A
         d(center): 3.872 A  angles  :    26.8    33.7    82.8    60.5   108.0    52.1
 atom  37 species N  : neighbors at    1.219   1.230   1.363   2.395 A
         d(center): 5.927 A  angles  :   125.6   118.9    65.6   115.4   164.2    55.4
 atom  38 species O  : neighbors at    1.219   2.178   2.194   2.225 A
         d(center): 6.536 A  angles  :    27.3    84.0    32.4   110.6    59.7    53.0
 atom  39 species N  : neighbors at    1.363   1.457   1.472   1.971 A
         d(center): 5.669 A  angles  :   117.7   115.7    89.9   122.7    28.2   149.9
 atom  40 species N  : neighbors at    1.217   1.229   1.374   2.403 A
         d(center): 4.983 A  angles  :   126.7   116.9    85.5   116.3   147.6    31.9
 atom  41 species O  : neighbors at    1.229   2.186   2.213   2.487 A
         d(center): 5.750 A  angles  :    26.5    33.8    83.0    60.3   108.7    50.9
 atom  42 species N  : neighbors at    1.374   1.434   1.454   1.981 A
         d(center): 5.729 A  angles  :   117.7   118.5   145.1   123.0    95.3    27.8
 atom  43 species H  : neighbors at    0.973   1.574   1.971   2.034 A
         d(center): 9.588 A  angles  :    35.8    45.1    41.3    67.7    65.1    74.0
 atom  44 species H  : neighbors at    0.970   1.574   1.981   2.002 A
         d(center): 9.335 A  angles  :    36.0    44.3    43.3    68.7    65.6    74.5
 atom  45 species C  : neighbors at    0.970   0.973   1.454   1.457 A
         d(center): 8.893 A  angles  :   108.2   108.0   109.5   112.4   106.7   111.9
 atom  46 species O  : neighbors at    1.230   2.178   2.193   2.433 A
         d(center): 7.478 A  angles  :    27.1    34.2    83.6    61.2   109.5    51.8
 atom  47 species H  : neighbors at    0.991   1.603   1.999   2.032 A
         d(center): 7.504 A  angles  :    35.9    42.5    43.0    66.3    66.7    72.4
 atom  48 species H  : neighbors at    0.990   1.603   1.998   2.031 A
         d(center): 8.364 A  angles  :    36.0    42.5    43.0    66.4    66.8    72.4
 atom  49 species C  : neighbors at    0.990   0.991   1.434   1.472 A
         d(center): 7.528 A  angles  :   108.1   109.7   109.7   109.7   109.7   109.9
 atom  50 species O  : neighbors at    1.217   2.186   2.209   2.337 A
         d(center): 6.547 A  angles  :    26.8    33.7    82.8    60.5   108.0    52.1
 atom  51 species N  : neighbors at    1.219   1.230   1.363   2.395 A
         d(center): 6.518 A  angles  :   125.6   118.9    65.6   115.4   164.2    55.4
 atom  52 species O  : neighbors at    1.219   2.178   2.194   2.225 A
         d(center): 5.890 A  angles  :    27.3    84.0    32.4   110.6    59.7    53.0
 atom  53 species N  : neighbors at    1.363   1.457   1.472   1.971 A
         d(center): 6.415 A  angles  :   117.7   115.7    89.9   122.7    28.2   149.9
 atom  54 species N  : neighbors at    1.217   1.229   1.374   2.403 A
         d(center): 7.347 A  angles  :   126.7   116.9    85.5   116.3   147.6    31.9
 atom  55 species O  : neighbors at    1.229   2.186   2.213   2.487 A
         d(center): 8.011 A  angles  :    26.5    33.8    83.0    60.3   108.7    50.9
 atom  56 species N  : neighbors at    1.374   1.434   1.454   1.981 A
         d(center): 7.771 A  angles  :   117.7   118.5   145.1   123.0    95.3    27.8
